"DESHOTEL","DESSEGMENTO","FECESTADIAHUESPED","FECCORTE","FLAG_STG","ROOM_REVENUE","ROOM_NIGHT"
"Tambo del Inka","LEISURE",17/01/19,21/11/18,"1",1197,6
"Tambo del Inka","LEISURE",07/05/19,21/11/18,"1",1966.8,8
"Tambo del Inka","LEISURE",25/11/18,21/11/18,"1",841.35,4
"Tambo del Inka","LEISURE",13/05/19,21/11/18,"1",3251.5,10
"Tambo del Inka","LEISURE",12/02/19,21/11/18,"1",0,0
"Tambo del Inka","RETAIL",16/04/19,21/11/18,"1",4429.6,11
"Tambo del Inka","SPG",30/11/18,21/11/18,"1",274,2
"Tambo del Inka","LEISURE",11/03/19,21/11/18,"1",681,3
"Tambo del Inka","LEISURE",07/06/19,21/11/18,"1",181.9,1
"Tambo del Inka","LEISURE",08/06/19,21/11/18,"1",2131,7
"Tambo del Inka","LEISURE",20/06/19,21/11/18,"1",5496.97,18
"Tambo del Inka","LEISURE",21/02/19,21/11/18,"1",0,0
"Tambo del Inka","SPG",01/07/19,21/11/18,"1",831,6
"Tambo del Inka","SPG",03/07/19,21/11/18,"1",277,2
"Tambo del Inka","OTHER",25/12/18,21/11/18,"1",0,1
"Tambo del Inka","CORPORATE",25/11/18,21/11/18,"1",0,0
"Tambo del Inka","SPG",02/04/19,21/11/18,"1",137,1
"Tambo del Inka","OTHER",29/03/19,21/11/18,"1",0,1
"Tambo del Inka","SPG",15/05/19,21/11/18,"1",411,3
"Tambo del Inka","SPG",25/01/19,21/11/18,"1",137,1
"Tambo del Inka","OTHER",26/11/18,21/11/18,"1",0,2
"Tambo del Inka","LEISURE",01/07/19,21/11/18,"1",3293.4,13
"Tambo del Inka","SPG",29/07/19,21/11/18,"1",274,2
"Tambo del Inka","LEISURE",14/03/19,21/11/18,"1",669,3
"Tambo del Inka","RETAIL",08/05/19,21/11/18,"1",1024.42,3
"Tambo del Inka","SPG",25/05/19,21/11/18,"1",881,7
"Tambo del Inka","LEISURE",08/01/19,21/11/18,"1",1977,9
"Tambo del Inka","SPG",17/06/19,21/11/18,"1",411,3
"Tambo del Inka","OTHER",10/04/19,21/11/18,"1",0,0
"Tambo del Inka","SPG",02/05/19,21/11/18,"1",414,3
"Tambo del Inka","SPG",03/05/19,21/11/18,"1",414,3
"Tambo del Inka","OTHER",06/12/18,21/11/18,"1",0,1
"Tambo del Inka","OTHER",29/01/19,21/11/18,"1",0,1
"Tambo del Inka","OTHER",04/01/19,21/11/18,"1",0,1
"Tambo del Inka","OTHER",15/02/19,21/11/18,"1",0,1
"Tambo del Inka","GROUP CORPORATE",27/11/18,21/11/18,"1",18751.75,82
"Tambo del Inka","SPG",17/08/19,21/11/18,"1",274,2
"Tambo del Inka","SPG",18/08/19,21/11/18,"1",411,3
"Tambo del Inka","SPG",08/12/18,21/11/18,"1",277,2
"Tambo del Inka","OTHER",23/11/19,21/11/18,"1",0,1
"Tambo del Inka","RETAIL",07/10/19,21/11/18,"1",1024,4
"Tambo del Inka","RETAIL",14/08/19,21/11/18,"1",599.8,2
"Tambo del Inka","LEISURE",12/09/19,21/11/18,"1",1832,8
"Tambo del Inka","GROUP LEISURE",18/08/19,21/11/18,"1",2393.01,12
"Tambo del Inka","LEISURE",09/10/19,21/11/18,"1",459,2
"Tambo del Inka","GROUP LEISURE",25/06/19,21/11/18,"1",11186.2,59
"Tambo del Inka","GROUP LEISURE",14/07/19,21/11/18,"1",1164,6
"Tambo del Inka","GROUP LEISURE",14/05/19,21/11/18,"1",25061.5,114
"Tambo del Inka","GROUP LEISURE",15/05/19,21/11/18,"1",20781.5,90
"Tambo del Inka","GROUP LEISURE",21/05/19,21/11/18,"1",3276.46,18
"Tambo del Inka","GROUP LEISURE",30/05/20,21/11/18,"1",1333.01,6
"Tambo del Inka","GROUP LEISURE",13/06/20,21/11/18,"1",2734.75,13
"Tambo del Inka","GROUP LEISURE",27/03/19,21/11/18,"1",976.88,5
"Tambo del Inka","GROUP CORPORATE",24/05/19,21/11/18,"1",4474.11,20
"Tambo del Inka","GROUP LEISURE",22/04/19,21/11/18,"1",3001.51,16
"Tambo del Inka","GROUP LEISURE",21/11/19,21/11/18,"1",143.74,1
"Tambo del Inka","GROUP LEISURE",03/12/19,21/11/18,"1",3309.52,18
"Tambo del Inka","GROUP LEISURE",30/12/19,21/11/18,"1",2934.34,16
"Tambo del Inka","GROUP LEISURE",05/04/20,21/11/18,"1",2201.63,14
"Tambo del Inka","GROUP LEISURE",09/05/20,21/11/18,"1",4201.14,20
"Tambo del Inka","GROUP LEISURE",05/09/20,21/11/18,"1",3623.42,17
"Tambo del Inka","GROUP LEISURE",19/04/19,21/11/18,"1",2997.17,15
"Tambo del Inka","LEISURE",17/01/20,21/11/18,"1",2126.4,11
"Tambo del Inka","SPG",23/02/19,21/11/18,"1",140,1
"Tambo del Inka","RETAIL",17/08/19,21/11/18,"1",215.52,1
"Tambo del Inka","OTHER",24/03/19,21/11/18,"1",0,1
"Tambo del Inka","RETAIL",30/01/19,21/11/18,"1",0,0
"Tambo del Inka","GROUP LEISURE",01/04/19,21/11/18,"1",1850,10
"Tambo del Inka","GROUP LEISURE",02/04/19,21/11/18,"1",1850,10
"Tambo del Inka","GROUP LEISURE",24/04/20,21/11/18,"1",3239.51,17
"Tambo del Inka","GROUP LEISURE",26/04/20,21/11/18,"1",2039.89,12
"Tambo del Inka","LEISURE",11/11/19,21/11/18,"1",4904.13,22
"Tambo del Inka","GROUP LEISURE",30/09/19,21/11/18,"1",5046.8,27
"Tambo del Inka","GROUP CORPORATE",29/11/19,21/11/18,"1",6226.3,30
"Tambo del Inka","GROUP LEISURE",13/01/20,21/11/18,"1",718.61,4
"Tambo del Inka","GROUP LEISURE",27/01/20,21/11/18,"1",359.31,2
"Tambo del Inka","GROUP LEISURE",03/02/20,21/11/18,"1",926.92,5
"Tambo del Inka","GROUP LEISURE",04/02/20,21/11/18,"1",359.31,2
"Tambo del Inka","GROUP LEISURE",03/07/20,21/11/18,"1",1777.34,8
"Tambo del Inka","GROUP LEISURE",19/02/19,21/11/18,"1",2086.88,11
"Tambo del Inka","GROUP LEISURE",20/07/19,21/11/18,"1",10118.94,45
"Tambo del Inka","GROUP LEISURE",08/06/19,21/11/18,"1",6226.57,30
"Tambo del Inka","GROUP LEISURE",02/08/19,21/11/18,"1",3897.15,19
"Tambo del Inka","GROUP LEISURE",25/02/20,21/11/18,"1",359.31,2
"Tambo del Inka","GROUP LEISURE",24/03/20,21/11/18,"1",4056.68,21
"Tambo del Inka","GROUP LEISURE",18/09/20,21/11/18,"1",1333.01,6
"Tambo del Inka","RETAIL",27/05/19,21/11/18,"1",1102.9,3
"Tambo del Inka","RETAIL",07/08/19,21/11/18,"1",1048,2
"Tambo del Inka","RETAIL",08/08/19,21/11/18,"1",0,0
"Tambo del Inka","GROUP LEISURE",11/06/19,21/11/18,"1",6553.13,35
"Tambo del Inka","GROUP LEISURE",22/07/19,21/11/18,"1",5419.21,30
"Tambo del Inka","GROUP LEISURE",25/05/19,21/11/18,"1",6087.71,29
"Tambo del Inka","GROUP LEISURE",16/07/19,21/11/18,"1",3885.7,21
"Tambo del Inka","GROUP LEISURE",23/10/20,21/11/18,"1",2221.68,10
"Tambo del Inka","RETAIL",01/03/19,21/11/18,"1",1847.22,5
"Tambo del Inka","RETAIL",13/02/19,21/11/18,"1",318,2
"Tambo del Inka","GROUP LEISURE",21/09/19,21/11/18,"1",5767.21,28
"Tambo del Inka","GROUP LEISURE",22/12/19,21/11/18,"1",3398.1,20
"Tambo del Inka","GROUP LEISURE",28/07/19,21/11/18,"1",1105,5
"Tambo del Inka","GROUP LEISURE",30/07/19,21/11/18,"1",4884.19,25
"Tambo del Inka","GROUP LEISURE",27/08/19,21/11/18,"1",3129.87,17
"Tambo del Inka","GROUP LEISURE",02/06/20,21/11/18,"1",359.31,2
"Tambo del Inka","GROUP LEISURE",28/02/20,21/11/18,"1",2433.52,15
"Tambo del Inka","LEISURE",23/10/19,21/11/18,"1",0,0
"Tambo del Inka","SPG",20/07/19,21/11/18,"1",0,0
"Tambo del Inka","GROUP LEISURE",08/09/19,21/11/18,"1",3319.89,19
"Tambo del Inka","GROUP LEISURE",01/03/19,21/11/18,"1",2384.34,12
"Tambo del Inka","GROUP LEISURE",21/03/19,21/11/18,"1",1109.06,6
"Tambo del Inka","GROUP LEISURE",27/04/19,21/11/18,"1",4540.85,21
"Tambo del Inka","GROUP LEISURE",29/06/20,21/11/18,"1",359.31,2
"Tambo del Inka","GROUP LEISURE",08/02/19,21/11/18,"1",2906.01,15
"Tambo del Inka","GROUP LEISURE",15/03/19,21/11/18,"1",2112.49,11
"Tambo del Inka","RETAIL",26/01/19,21/11/18,"1",0,0
"Tambo del Inka","LEISURE",03/03/19,21/11/18,"1",168,1
"Tambo del Inka","SPG",27/08/19,21/11/18,"1",137,1
"Tambo del Inka","GROUP LEISURE",20/01/19,21/11/18,"1",2070.6,11
"Tambo del Inka","SPG",13/02/19,21/11/18,"1",140,1
"Tambo del Inka","GROUP CORPORATE",28/12/18,21/11/18,"1",0,0
"Tambo del Inka","RETAIL",04/03/19,21/11/18,"1",0,0
"Tambo del Inka","GROUP LEISURE",06/09/19,21/11/18,"1",2368.09,11
"Tambo del Inka","GROUP LEISURE",14/09/20,21/11/18,"1",359.31,2
"Tambo del Inka","GROUP LEISURE",09/11/19,21/11/18,"1",976.88,5
"Tambo del Inka","GROUP LEISURE",10/11/19,21/11/18,"1",976.88,5
"Tambo del Inka","SPG",11/08/19,21/11/18,"1",137,1
"Tambo del Inka","RETAIL",30/06/19,21/11/18,"1",0,0
"Tambo del Inka","GROUP LEISURE",19/10/20,21/11/18,"1",359.31,2
"Tambo del Inka","GROUP LEISURE",02/10/19,21/11/18,"1",1387.86,7
"Tambo del Inka","GROUP LEISURE",03/04/20,21/11/18,"1",1777.34,8
"Tambo del Inka","LEISURE",08/03/19,21/11/18,"1",198,1
"Tambo del Inka","RETAIL",13/03/19,21/11/18,"1",692.3,2
"Tambo del Inka","GROUP LEISURE",02/05/20,21/11/18,"1",1333.01,6
"Tambo del Inka","GROUP LEISURE",06/11/19,21/11/18,"1",991.33,5
"Tambo del Inka","SPG",21/08/19,21/11/18,"1",137,1
"Tambo del Inka","LEISURE",12/01/19,21/11/18,"1",218,1
"Tambo del Inka","RETAIL",19/09/19,21/11/18,"1",349.4,1
"Tambo del Inka","RETAIL",21/08/19,21/11/18,"1",478.08,1
"Westin","LEISURE",21/11/18,21/11/18,"0",941.4,1
"Westin","GROUP LEISURE",21/11/18,21/11/18,"0",1257.66,9
"Westin","CORPORATE",04/12/18,21/11/18,"1",21108.97,109
"Westin","CORPORATE",30/11/18,21/11/18,"1",6914,35
"Westin","CORPORATE",02/12/18,21/11/18,"1",13982,73
"Westin","OTHER",25/11/18,21/11/18,"1",670,8
"Westin","LEISURE",25/01/19,21/11/18,"1",568,4
"Westin","OTHER",27/11/18,21/11/18,"1",670,10
"Westin","CORPORATE",29/11/18,21/11/18,"1",15276,73
"Westin","LEISURE",19/02/19,21/11/18,"1",167,1
"Westin","CORPORATE",21/12/18,21/11/18,"1",584,3
"Westin","GROUP LEISURE",22/11/18,21/11/18,"1",0,0
"Westin","CORPORATE",15/01/19,21/11/18,"1",1022.3,5
"Westin","CORPORATE",14/12/18,21/11/18,"1",6920,36
"Westin","RETAIL",06/12/18,21/11/18,"1",4640.53,24
"Westin","RETAIL",12/12/18,21/11/18,"1",3577.43,13
"Westin","RETAIL",28/11/18,21/11/18,"1",10870.4,36
"Westin","RETAIL",21/06/19,21/11/18,"1",0,0
"Westin","RETAIL",09/04/19,21/11/18,"1",0,0
"Westin","RETAIL",13/02/19,21/11/18,"1",94,1
"Westin","RETAIL",17/02/19,21/11/18,"1",285,1
"Westin","LEISURE",10/06/19,21/11/18,"1",113,1
"Westin","RETAIL",28/12/18,21/11/18,"1",6373.12,35
"Westin","RETAIL",27/01/19,21/11/18,"1",69,1
"Westin","RETAIL",28/01/19,21/11/18,"1",69,1
"Westin","RETAIL",30/01/19,21/11/18,"1",0,0
"Westin","LEISURE",31/12/18,21/11/18,"1",518,4
"Westin","OTHER",03/12/18,21/11/18,"1",670,5
"Westin","LEISURE",08/01/19,21/11/18,"1",0,0
"Westin","RETAIL",14/03/19,21/11/18,"1",69,1
"Westin","SPG",29/12/18,21/11/18,"1",596.12,8
"Westin","SPG",28/12/18,21/11/18,"1",845.18,10
"Westin","SPG",26/12/18,21/11/18,"1",358.03,4
"Westin","LEISURE",24/11/18,21/11/18,"1",0,0
"Westin","RETAIL",17/03/19,21/11/18,"1",405.67,1
"Westin","RETAIL",28/03/19,21/11/18,"1",330.33,2
"Westin","RETAIL",29/03/19,21/11/18,"1",330.33,2
"Westin","SPG",09/01/19,21/11/18,"1",0,0
"Westin","SPG",10/01/19,21/11/18,"1",341,2
"Westin","RETAIL",29/04/19,21/11/18,"1",1118,2
"Westin","RETAIL",02/05/19,21/11/18,"1",184.16,1
"Westin","RETAIL",09/05/19,21/11/18,"1",0,0
"Westin","SPG",05/06/19,21/11/18,"1",66,1
"Westin","LEISURE",26/04/19,21/11/18,"1",0,0
"Westin","SPG",18/12/18,21/11/18,"1",0,0
"Westin","SPG",13/12/18,21/11/18,"1",72.03,1
"Westin","LEISURE",30/11/18,21/11/18,"1",512.88,4
"Westin","LEISURE",02/12/18,21/11/18,"1",159,1
"Westin","RETAIL",11/05/19,21/11/18,"1",302,1
"Westin","OTHER",08/04/19,21/11/18,"1",670,5
"Westin","OTHER",06/04/19,21/11/18,"1",670,6
"Westin","SPG",08/04/19,21/11/18,"1",66,1
"Westin","SPG",20/01/19,21/11/18,"1",72.03,1
"Westin","SPG",03/12/18,21/11/18,"1",0,0
"Westin","RETAIL",13/01/19,21/11/18,"1",1777.18,7
"Westin","SPG",14/05/19,21/11/18,"1",66,1
"Westin","CORPORATE",14/09/19,21/11/18,"1",0,0
"Westin","OTHER",04/01/19,21/11/18,"1",670,7
"Westin","LEISURE",25/11/18,21/11/18,"1",93.5,1
"Westin","CORPORATE",30/01/19,21/11/18,"1",578,3
"Westin","LEISURE",09/04/19,21/11/18,"1",167,1
"Westin","LEISURE",10/04/19,21/11/18,"1",0,0
"Westin","OTHER",27/04/20,21/11/18,"1",697.98,5
"Westin","GROUP LEISURE",01/06/19,21/11/18,"1",3242.94,24
"Westin","GROUP LEISURE",02/06/19,21/11/18,"1",2615.49,36
"Westin","GROUP LEISURE",11/08/19,21/11/18,"1",1223.58,28
"Westin","GROUP LEISURE",18/08/19,21/11/18,"1",2065.52,22
"Westin","GROUP LEISURE",01/09/19,21/11/18,"1",2472.47,27
"Westin","GROUP LEISURE",16/06/20,21/11/18,"1",0,0
"Westin","GROUP LEISURE",29/06/20,21/11/18,"1",0,0
"Westin","GROUP LEISURE",05/07/20,21/11/18,"1",436.99,3
"Westin","GROUP LEISURE",06/07/20,21/11/18,"1",0,0
"Westin","LEISURE",04/07/19,21/11/18,"1",791.45,5
"Westin","GROUP LEISURE",13/10/20,21/11/18,"1",0,0
"Westin","GROUP LEISURE",16/10/20,21/11/18,"1",436.99,3
"Westin","GROUP CORPORATE",07/12/18,21/11/18,"1",28162.82,146
"Westin","GROUP LEISURE",29/12/18,21/11/18,"1",3585,19
"Westin","OTHER",17/12/18,21/11/18,"1",670,5
"Westin","OTHER",07/01/19,21/11/18,"1",670,5
"Westin","OTHER",04/03/19,21/11/18,"1",670,5
"Westin","OTHER",30/03/19,21/11/18,"1",670,16
"Westin","OTHER",10/04/19,21/11/18,"1",670,5
"Westin","OTHER",24/08/19,21/11/18,"1",677.75,5
"Westin","OTHER",09/08/19,21/11/18,"1",677.75,5
"Westin","OTHER",30/05/20,21/11/18,"1",697.98,5
"Westin","GROUP LEISURE",23/06/19,21/11/18,"1",4744.53,43
"Westin","GROUP LEISURE",03/02/19,21/11/18,"1",703.75,5
"Westin","GROUP LEISURE",11/09/19,21/11/18,"1",841.94,6
"Westin","GROUP LEISURE",14/09/19,21/11/18,"1",1899.05,20
"Westin","GROUP LEISURE",15/09/19,21/11/18,"1",1942.65,22
"Westin","GROUP LEISURE",20/07/20,21/11/18,"1",0,0
"Westin","GROUP LEISURE",08/08/20,21/11/18,"1",436.99,3
"Westin","GROUP LEISURE",24/11/20,21/11/18,"1",0,0
"Westin","GROUP LEISURE",13/07/19,21/11/18,"1",3972.42,42
"Westin","OTHER",06/03/19,21/11/18,"1",670,5
"Westin","OTHER",21/09/19,21/11/18,"1",677.75,5
"Westin","OTHER",23/09/19,21/11/18,"1",677.75,5
"Westin","OTHER",01/09/19,21/11/18,"1",677.75,5
"Westin","OTHER",07/06/20,21/11/18,"1",697.98,5
"Westin","OTHER",13/06/20,21/11/18,"1",697.98,5
"Westin","GROUP LEISURE",29/06/19,21/11/18,"1",3436.32,38
"Westin","GROUP LEISURE",07/07/19,21/11/18,"1",4471.91,40
"Westin","OTHER",26/01/19,21/11/18,"1",670,12
"Westin","GROUP CORPORATE",12/11/19,21/11/18,"1",7703.24,35
"Westin","GROUP LEISURE",03/10/19,21/11/18,"1",4039.78,25
"Westin","GROUP LEISURE",15/08/20,21/11/18,"1",436.99,3
"Westin","GROUP LEISURE",17/08/20,21/11/18,"1",0,0
"Westin","GROUP LEISURE",25/08/20,21/11/18,"1",0,0
"Westin","GROUP LEISURE",30/08/20,21/11/18,"1",436.99,3
"Westin","GROUP CORPORATE",25/02/19,21/11/18,"1",65425.47,264
"Westin","GROUP CORPORATE",25/03/19,21/11/18,"1",5918.24,30
"Westin","SPG",28/06/19,21/11/18,"1",132,2
"Westin","OTHER",14/09/19,21/11/18,"1",677.75,5
"Westin","OTHER",30/09/19,21/11/18,"1",677.75,5
"Westin","OTHER",27/10/19,21/11/18,"1",677.75,5
"Westin","GROUP LEISURE",15/04/19,21/11/18,"1",2231.8,13
"Westin","GROUP LEISURE",19/10/19,21/11/18,"1",1495.49,17
"Westin","GROUP LEISURE",04/09/20,21/11/18,"1",2268.97,17
"Westin","GROUP LEISURE",07/09/20,21/11/18,"1",0,0
"Westin","GROUP LEISURE",14/09/20,21/11/18,"1",0,0
"Westin","GROUP CORPORATE",28/10/19,21/11/18,"1",0,250
"Westin","SPG",09/03/19,21/11/18,"1",66,1
"Westin","OTHER",09/03/19,21/11/18,"1",670,5
"Westin","OTHER",30/10/19,21/11/18,"1",677.75,5
"Westin","OTHER",21/10/19,21/11/18,"1",677.75,5
"Westin","OTHER",05/07/20,21/11/18,"1",697.98,5
"Westin","OTHER",06/07/20,21/11/18,"1",697.98,5
"Westin","OTHER",07/07/20,21/11/18,"1",697.98,5
"Westin","GROUP LEISURE",27/05/19,21/11/18,"1",662.87,4
"Westin","GROUP LEISURE",04/11/19,21/11/18,"1",0,5
"Westin","GROUP LEISURE",24/09/20,21/11/18,"1",0,0
"Westin","LEISURE",10/05/19,21/11/18,"1",1476.94,9
"Westin","LEISURE",14/05/19,21/11/18,"1",1476.94,9
"Westin","LEISURE",22/05/19,21/11/18,"1",2617.11,10
"Westin","GROUP CORPORATE",18/10/19,21/11/18,"1",9683.11,42
"Westin","GROUP CORPORATE",12/10/19,21/11/18,"1",454.03,2
"Westin","GROUP CORPORATE",23/10/19,21/11/18,"1",0,14
"Westin","OTHER",17/01/19,21/11/18,"1",670,5
"Westin","OTHER",17/04/19,21/11/18,"1",670,5
"Westin","OTHER",28/01/19,21/11/18,"1",670,5
"Westin","OTHER",01/10/19,21/11/18,"1",677.75,5
"Westin","OTHER",03/10/19,21/11/18,"1",677.75,5
"Westin","OTHER",27/11/19,21/11/18,"1",697.98,5
"Westin","OTHER",25/07/20,21/11/18,"1",697.98,5
"Westin","OTHER",29/07/20,21/11/18,"1",697.98,5
"Westin","OTHER",31/07/20,21/11/18,"1",697.98,5
"Westin","OTHER",21/08/20,21/11/18,"1",697.98,5
"Westin","GROUP LEISURE",19/03/19,21/11/18,"1",1393.52,10
"Westin","GROUP LEISURE",26/03/19,21/11/18,"1",1845.08,13
"Westin","GROUP LEISURE",17/11/19,21/11/18,"1",2311.21,32
"Westin","GROUP LEISURE",19/11/19,21/11/18,"1",827.38,6
"Westin","GROUP LEISURE",20/11/19,21/11/18,"1",827.38,6
"Westin","GROUP LEISURE",30/11/19,21/11/18,"1",271.91,10
"Westin","GROUP CORPORATE",25/10/19,21/11/18,"1",0,14
"Westin","OTHER",06/11/19,21/11/18,"1",697.98,5
"Westin","OTHER",28/08/20,21/11/18,"1",697.98,5
"Westin","OTHER",08/08/20,21/11/18,"1",697.98,5
"Westin","GROUP LEISURE",13/04/19,21/11/18,"1",1117.08,8
"Westin","GROUP CORPORATE",27/07/19,21/11/18,"1",0,269
"Westin","GROUP LEISURE",17/02/19,21/11/18,"1",550.29,4
"Westin","GROUP LEISURE",18/02/19,21/11/18,"1",0,0
"Westin","GROUP LEISURE",23/12/19,21/11/18,"1",0,8
"Westin","GROUP LEISURE",23/10/20,21/11/18,"1",436.99,3
"Westin","GROUP LEISURE",06/11/20,21/11/18,"1",436.99,3
"Westin","OTHER",23/11/19,21/11/18,"1",697.98,5
"Westin","OTHER",07/09/20,21/11/18,"1",697.98,5
"Westin","GROUP LEISURE",14/05/19,21/11/18,"1",841.94,6
"Westin","GROUP LEISURE",15/03/19,21/11/18,"1",5292.52,39
"Westin","GROUP LEISURE",20/04/19,21/11/18,"1",1234.67,9
"Westin","GROUP LEISURE",10/05/19,21/11/18,"1",4408.66,31
"Westin","GROUP LEISURE",24/12/19,21/11/18,"1",0,0
"Westin","GROUP LEISURE",26/12/19,21/11/18,"1",0,0
"Westin","GROUP LEISURE",07/01/20,21/11/18,"1",0,0
"Westin","GROUP LEISURE",11/01/20,21/11/18,"1",291.33,2
"Westin","GROUP LEISURE",08/11/20,21/11/18,"1",436.99,3
"Westin","GROUP LEISURE",20/06/19,21/11/18,"1",822.45,6
"Westin","GROUP LEISURE",20/02/20,21/11/18,"1",0,0
"Westin","GROUP LEISURE",14/03/20,21/11/18,"1",0,0
"Westin","GROUP LEISURE",15/03/20,21/11/18,"1",0,0
"Westin","RETAIL",22/01/19,21/11/18,"1",876.5,4
"Westin","LEISURE",15/04/19,21/11/18,"1",0,0
"Westin","OTHER",24/02/19,21/11/18,"1",670,5
"Westin","OTHER",25/02/19,21/11/18,"1",670,5
"Westin","OTHER",26/03/19,21/11/18,"1",670,5
"Westin","OTHER",26/12/19,21/11/18,"1",697.98,5
"Westin","OTHER",08/09/20,21/11/18,"1",697.98,5
"Westin","OTHER",17/09/20,21/11/18,"1",697.98,5
"Westin","GROUP LEISURE",03/12/20,21/11/18,"1",0,0
"Westin","GROUP LEISURE",04/12/20,21/11/18,"1",436.99,3
"Westin","GROUP LEISURE",05/04/20,21/11/18,"1",436.99,3
"Westin","GROUP LEISURE",07/04/20,21/11/18,"1",0,0
"Westin","CORPORATE",08/01/19,21/11/18,"1",1199.4,5
"Westin","OTHER",21/03/19,21/11/18,"1",670,5
"Westin","OTHER",29/12/19,21/11/18,"1",697.98,5
"Westin","OTHER",31/12/19,21/11/18,"1",697.98,5
"Westin","OTHER",25/01/20,21/11/18,"1",697.98,5
"Westin","OTHER",26/01/20,21/11/18,"1",697.98,5
"Westin","OTHER",27/09/20,21/11/18,"1",697.98,5
"Westin","OTHER",02/10/20,21/11/18,"1",697.98,5
"Westin","OTHER",04/10/20,21/11/18,"1",697.98,5
"Westin","GROUP LEISURE",02/07/19,21/11/18,"1",841.94,6
"Westin","GROUP LEISURE",09/07/19,21/11/18,"1",841.94,6
"Westin","GROUP CORPORATE",13/08/19,21/11/18,"1",0,269
"Westin","GROUP CORPORATE",31/07/19,21/11/18,"1",0,269
"Westin","GROUP LEISURE",31/01/20,21/11/18,"1",436.99,3
"Westin","GROUP LEISURE",04/02/20,21/11/18,"1",0,0
"Westin","GROUP LEISURE",23/02/20,21/11/18,"1",436.99,3
"Westin","GROUP LEISURE",02/09/19,21/11/18,"1",0,9
"Westin","RETAIL",07/07/19,21/11/18,"1",584.66,2
"Westin","RETAIL",08/07/19,21/11/18,"1",584.66,2
"Westin","OTHER",25/04/19,21/11/18,"1",670,5
"Westin","OTHER",30/04/19,21/11/18,"1",670,5
"Westin","OTHER",14/01/20,21/11/18,"1",697.98,5
"Westin","OTHER",17/01/20,21/11/18,"1",697.98,5
"Westin","OTHER",13/10/20,21/11/18,"1",697.98,5
"Westin","OTHER",19/10/20,21/11/18,"1",697.98,5
"Westin","OTHER",20/10/20,21/11/18,"1",697.98,5
"Westin","GROUP LEISURE",25/03/20,21/11/18,"1",0,0
"Westin","GROUP LEISURE",12/05/20,21/11/18,"1",0,0
"Westin","GROUP LEISURE",15/05/20,21/11/18,"1",1310.98,9
"Westin","GROUP LEISURE",21/05/20,21/11/18,"1",1831.98,14
"Westin","CORPORATE",03/02/19,21/11/18,"1",314,2
